Time,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP),Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) ",Net official development assistance and official aid received (current US$) ,Agricultural land (% of land area) [AG.LND.AGRI.ZS],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Rural population,Urban population,"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Forest area (% of land area) ,Agricultural irrigated land (% of total agricultural land),Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS]
2010,PAK,194454498,2.25257934512803,796100,252.250023349938,9.9,64.436,4.297,..,..,87.2,..,55.4675178527832,74.5180969238281,29.8961391448975,0.821619987487793,40937.3,..,336.872727272727,2.83719191947223,437.224748588742,0.72190976009205,408.00290461782,196709621849.586,1.50171752152883,10.5886442624245,22.6888101741789,20.9650197800876,12.6372221360882,19.3517760693609,15.9615525805041,..,..,..,..,3.42369097294437,51.00722535,1.72802357611431,76.6666666666667,30.1037638338201,106.0442471661,63482952104,15.1401314827574,-431891,9690000000,2022000000,2933209960.9375,45.7165836446658,1.93923913260803,126401257,68053241,2.28687000274658,2.39686546,5.31046336654213,55.728959763918,-0.688324235118166,13.0355003666411,1.06533599428264,0.72864364053068,31.9889982054491
2011,PAK,198602738,2.11083457768435,796100,257.631198111249,9.7,64.648,4.234,..,43,85.1,31.4,53.0464286804199,71.025993347168,30.3576793670654,0.81726998090744,40615.04,..,326.327272727273,2.69488989176193,431.312991263998,0.713434272995773,399.339912423564,230586581059.665,2.68011685421705,16.4109562675144,23.819642978628,21.1864809532945,13.4825548617217,18.8800834134221,14.6316230820464,..,..,..,..,3.28565081602325,54.83032062,1.8145009580316,74.4444444444444,30.094986308871,101.2717701385,65088322904.6,9.35880411010254,-890633,12263000000,1326000000,3714360107.42188,46.6168534661685,1.79496631192206,128690602,69912136,2.22175002098083,2.14016924,5.26865919468659,51.9534728406055,-0.957124213324854,13.3811359313224,1.15135968525352,1.01863575475154,32.3626382751438
2012,PAK,202205861,1.7979754297027,796100,262.305236872146,..,64.782,4.169,29,51,83,..,55.3550224304199,70.7852478027344,31.2602005004883,0.817430019378662,40292.78,..,341.6,2.38146323415308,428.527801179809,0.711250896926277,396.269423664233,250106966104.704,3.02758391088629,9.91831543776397,23.3861955340345,21.9583720724829,11.8739621781713,19.4450085916423,15.1689851833729,..,..,..,..,3.48433392362757,59.42025439,1.72525690063153,71.1111111111111,27.457052104359,97.2623898949,63954134989.1,15.4974439085818,-1647986,14007000000,859000000,2017410034.17969,46.781600249066,1.47955830510432,130608810,71597051,2.13628005981445,2.20038641,5.22685502283105,51.4654909463994,-0.936399348037174,13.7390762104055,1.16061935619345,1.0633112529615,31.3189707698136
2013,PAK,205337562,1.53689764905925,796100,266.367738169365,9.5,65.15,4.106,35.4,52.1,80.7,31.8,55.947437286377,70.2436370849609,32.1165084838867,0.814499974250793,39970.52,..,333.636363636364,2.11419372076131,432.231346936904,0.710993636907017,426.434399761696,258657231672.412,4.36686504978387,7.38310696738498,23.7075945934908,20.8910295084645,12.1774992839349,18.7127757351044,14.9823800777456,..,20,..,..,3.47561387186447,62.20843608,1.92488889432761,67.7777777777778,26.9731488073609,92.8866850016,60297830475.4,22.786054796032,-1906315,14629000000,1333000000,2194469970.70313,47.063096720631,1.2190159406489,132210696,73126866,2.49343991279602,2.40178362,5.18505085097551,49.4487320837927,-1.70727876868057,13.3207628541452,0.810320846360073,1.06026413011729,30.8902750190393
2014,PAK,208251628,1.40918297342086,796100,270.147919261104,..,65.284,4.005,32,..,78.4,..,56.9134712219238,74.3189010620117,33.2142181396484,0.8298100233078,39648.26,..,354.309090909091,1.98595731741215,431.626863440414,0.740619420271711,419.684594254408,271390474857.632,4.11642817161422,7.20976543926079,23.4927320097855,20.8659912298838,11.1949725296552,18.2748533038429,14.9075538453678,..,20,..,..,3.48525088894765,65.19134199,1.44811284723987,74.4444444444444,26.6483191931989,96.3884835783,64359863497.7,15.5835259640491,-2037911,17244000000,1887000000,3615820068.35938,47.0267745952677,1.08872946898414,133657977,74593651,2.46592998504639,2.45603824,5.14324667911997,51.2799293832064,-1.34787339235798,13.4140262892618,0.804257582672484,0.93400190583338,29.4698258334981
2015,PAK,210969298,1.29655172364692,796100,273.673331776671,9.3,65.697,3.904,..,59,76.2,..,..,74.8479919433594,35.1742515563965,0.832499980926514,39326,..,358,1.8727929529853,..,0.778086202855925,..,299963590534.773,4.21794209572506,4.44198033438504,23.2628407756242,19.602614668814,9.97457101697387,16.7136135869803,15.8109281075904,..,20,..,..,2.98538132059023,59.67675827,1.60383333993798,75.5555666666667,22.0883474163906,100,68749830505.4,14.1333056990533,-2172159,19306000000,1673000000,3764020019.53125,46.9619136571191,0.973505626353043,134965499,76003799,2.6500198841095,2.45764362,5.10144250726443,51.7374730677863,-0.934446742353906,12.3014420948153,0.640277340950594,0.333804259360431,26.6881846039541
2016,PAK,213524840,1.20405567252781,796100,276.988428808634,..,65.88,3.827,..,..,73.9,..,57.8369369506836,79.839973449707,36.3533706665039,0.839510023593903,38682.4,9.7949078821214,363.218181818182,1.77975713234327,..,0.848207168777178,..,313630000130.435,6.57383828511043,0.922163326262009,22.3283302035697,18.1501179723214,8.73671724677937,15.9648622680443,15.9357469564064,..,20,..,..,2.94895743710225,63.92184347,1.95739155772638,75.5555666666667,21.4335363237073,106.2980622869,75206431382.3,15.800860805807,-2290411,19819000000,2576000000,2961110107.42188,47.7298671647987,0.878393315952485,136156249,77368591,2.41721177101135,2.57026353,5.01795350767954,50.5544382236234,-2.29279660651385,11.2109167506518,0.529799379684657,0.187153081394228,24.7015795148236
2017,PAK,216379655,1.32813543357738,796100,280.691748391449,..,66.297,3.759,..,..,71.8,..,..,78.8430633544922,35.8526802062988,0.845960021018982,38499.2,9.7949542203294,363.581818181818,1.90054008619129,..,0.918472672488548,..,339205534861.1,4.43262590683975,4.02974599325579,21.9632035366872,18.0993270885214,8.22161246904219,17.25042393966,16.3328905086261,..,19.5,..,..,3.08231782700656,66.79261828,2.1763687688896,75.5555666666667,23.3825783628437,105.4627446454,93158143047.2,22.5483595742173,-1574581,19856000000,2496000000,2364310058.59375,48.0009858862599,1.00140988138495,137526581,78853074,2.13665676116943,2.78630086,4.99418845994188,49.239250871551,-4.76985760466006,11.2993459112201,0.578433998743213,0.300559741011292,25.4720364087022
2018,PAK,219731479,1.5371724033626,796100,285.039797374429,9.6,66.482,3.685,34.2,69.3,69.6,23.1,62.0856018066406,82.0333099365234,37.74951171875,0.848890006542206,38085.8,9.7949542203294,350.436363636364,2.149966084399,..,0.850427079681196,..,356128166704.921,6.15170261099519,3.84178663274797,21.6512353593957,18.5890515927482,8.58179970762808,19.0442566575342,17.0682914767895,..,16.5,..,..,3.26735900701032,70.07944774,2.16975283666106,74.4444666666667,23.4474573501479,104.5681173384,100199117658,19.4480422090582,-1309609,21193000000,1737000000,1386989990.23438,47.9361249481112,1.18411604998862,139164735,80566744,2.33216953277588,2.82844954,4.94056143628061,50.4153925256407,-5.29556175645778,11.6027431620618,0.592895257258281,0.443490416507805,27.6260563651623
2019,PAK,223293280,1.6079813474837,796100,289.660232461602,..,66.756,3.62,34,73.7,67.5,..,63.4986953735352,83.1845779418945,39.6166496276855,0.87747997045517,37672.4,9.7949549891578,322.018181818182,2.26311562302006,..,0.824459652346009,..,320909472770.669,2.49763692943365,9.03633484170507,20.6778713222887,19.5638945814483,9.39086337877951,19.5147124206658,15.4996434687193,..,16.5,..,..,3.28551548641494,74.07560451,2.30269329696388,71.1111333333333,22.9538253776137,108.5863194616,110177707176.5,35.6260541571797,-1177218,22252000000,2234000000,2009719970.70313,47.1188771274388,1.22673303764448,140882429,82410851,2.21491765975952,2.84736937,4.88693441261934,50.4638934008755,-2.66677325730292,12.5872745902299,0.705622138819343,0.358191529536938,28.9055757994453
2020,PAK,227196741,1.73302782045863,796100,294.723875311333,..,66.269,3.555,..,68,65.5,..,..,..,..,..,37259,9.7949549891578,344.709090909091,2.42965020601275,..,0.81036021551031,..,300425609817.981,-1.27408744338709,9.9444982105729,21.8541325548966,18.5894635445816,9.29855904268724,17.4177214167425,14.8155393446447,..,..,..,..,3.01927583247507,77.3005648,1.88781249603383,72.2222333333333,22.5733085941267,113.6405246159,118049163002.6,38.4354628253665,-588736,26089000000,2057000000,2591290039.0625,47.6377646326276,1.32326925171531,142759072,84437669,2.05718231201172,2.95390352,4.83330738895807,52.6645426571903,-0.216650637871501,11.4160734292379,0.715021946350587,0.159470063577414,26.7162804594298
2021,PAK,231402117,1.83406208240793,796100,300.179167963885,..,66.098,3.47,..,..,63.3,..,68.2332153320312,84.3684616088867,41.8552360534668,..,36845.6,9.7949549891578,..,2.57128163621201,..,..,..,348516647445.148,6.51388575852702,10.2673420806694,22.6625080760743,18.8964082009484,9.05160046188653,17.9788210968775,14.5346932032028,..,..,..,..,2.87198606564158,81.55130785,1.48848329298399,..,28.9248736721725,107.6016464064,130872548059.3,33.8898060821574,-471395,31312000000,2147000000,2698300048.82813,47.0929327521793,1.39544727165357,144765164,86636953,1.6874612569809,..,4.7796803652968,..,-3.52439577565177,11.9347162169362,0.736337565284813,0.380197434318265,27.030421558764
2022,PAK,235824862,1.89324559780014,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.7949549891578,..,2.66748411228143,..,..,..,374697366359.244,4.70580295198029,13.9570139609403,22.3519129233165,20.421888583866,10.5460179307063,22.5023431826144,15.7199365801288,..,..,..,..,2.63074028023171,81.74691267,1.43131733752554,..,27.2241038124082,..,126942238476.9,41.9932572608592,-165988,29871000000,1339000000,..,..,1.42700699579688,146845783,88979079,1.97444903850555,..,..,..,-3.20202330658949,13.7770279104333,..,..,33.0483611133206
