Time,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural irrigated land (% of total agricultural land) [AG.LND.IRIG.AG.ZS],Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS]
2010,IND,1240613620,1.37759581159767,3287260,417.266848065546,..,66.909,2.603,..,..,58.1,..,..,106.551513671875,61.7925415039062,0.989049971103668,694960,..,44.7786998616874,2.49274628981713,558.786561604894,1.33803383522422,637.125844225376,1675615519489.35,8.49758470212609,10.5260308564116,17.0265090136466,30.7250782283702,22.4009332487358,26.8542732485513,39.7856241736666,13.1835965373417,..,..,10.388039790504,2.88946327164641,60.63048058,7.72334080992274,81.1111111111111,34.4102804786456,89.6797314993,290427544563.2,6.81923327447653,-380087,53479960083.2432,27396885033.7839,2831340087.89063,60.3974182611942,0.882227127882411,856891827,383721793,3.377690076828,3.27211928,23.3742209545976,34.4923791438579,-3.25348368944327,17.0299342498178,0.158053469617224,0.815747227430213,49.2552064972871
2011,IND,1257621191,1.36158808453343,3287260,422.987158910127,8.1,67.359,2.536,..,..,55,..,..,103.955017089844,64.86328125,0.998529970645905,697624,..,44.7786998616874,2.47403243101329,574.624111911931,1.39687849773199,692.779356959802,1823051829900.81,5.24131500151445,8.73358014388084,17.1919735579559,30.1616797632805,24.540411319487,31.0834686938517,39.5904214420075,11.4959960090496,..,..,10.1773871997259,2.70448222276966,71.07565334,7.86856500680686,76.6666666666667,42.0924401278132,86.3417762321,334399298473.1,6.4138689129389,-244114,62499075444.7366,36498654597.8589,3270219970.70313,60.4300431523044,0.859388098356134,864287587,393333604,3.79618000984192,3.24634218,23.4638216864714,35.3987866644404,-3.42928468604883,16.1393374445734,0.171410338885456,1.34852705756453,55.6238800133388
2012,IND,1274487215,1.33219204981494,3287260,428.65986196644,..,67.887,2.467,..,..,52,..,..,107.770881652832,67.4561462402344,1.00339996814728,700288,..,44.7786998616874,2.47033820164956,595.062341209912,1.49820412282441,718.295946185698,1827637590787.19,5.45638875261152,7.93438627064478,16.8453770626628,29.3985276907699,24.5344306563601,31.2592910608889,38.3474156651146,12.5998727738885,..,..,10.8367717187352,2.61816634758562,67.84853606,7.69991801319108,75.5555555555556,43.0348994770475,86.4283778131,392576050359.7,6.71426990966754,-180991,68820517837.6536,23995685014.2142,1681849975.58594,60.4206256579633,0.809906220369782,871315929,403171286,4.08479833602905,3.32935286,23.5534224183453,36.3294775163937,-5.00488971702126,15.8169230038459,0.150297037032533,1.31387208215422,55.793721717249
2013,IND,1291132063,1.29754883539168,3287260,434.258174889597,..,68.46,2.406,..,..,49.1,..,..,102.517570495605,67.0827331542969,1.03569304943085,702952,..,44.7786998616874,2.45726439138516,600.966036887893,1.52767440026001,758.110675158719,1856721507681.08,6.38610640116532,6.18650398213003,17.1484235428202,28.4048995596484,25.4308612996653,28.4132706452162,34.0232020826288,12.6089934120652,32.6,..,11.0016256939392,2.5488248901417,68.6455143,8.86996677961836,73.3333333333333,42.0227264440144,88.6956489999,427245079805.9,8.08000121217609,-236387,69970360846.7858,28153031270.3203,2456340087.89063,60.4394606466455,0.756345049371408,877931069,413200994,3.84467005729675,3.74944186,23.6430231502191,36.7856069627931,-2.64566711725414,15.2530226920972,0.0935065065834165,1.19335415579377,53.8441319448815
2014,IND,1307246509,1.24036218382689,3287260,439.678092890128,..,69.074,2.306,..,81.4,46.2,29.4,..,..,72.282470703125,1.03251755237579,705616,..,44.7786998616874,2.42384462717953,630.900867833184,1.64246527737333,797.349232010839,2039126479228.11,7.41022760058425,3.33175692181283,16.7919345138978,27.6564012022075,22.9679630072592,25.9542227379804,34.2678056144362,11.5506206441382,35,..,9.98465419035275,2.54398176462257,72.21351677,9.21716620337348,81.1111111111111,38.5264969094698,90.0163618126,457507409077.4,18.6296205367074,-310694,70388642796.5471,34576643694.1383,2991820068.35938,60.4495508191538,0.678467711413021,883907800,423338709,3.89878034591675,3.61956549,23.732623882093,37.899492566545,-1.33950896478618,15.0655701102151,0.0844638547070627,0.945192923172492,48.9221857452396
2015,IND,1322866505,1.18779532005068,3287260,444.931708030768,8.4,69.636,2.287,..,..,43.6,36.3,..,100.712768554688,72.0130081176758,1.03027153015137,708280,..,44.7786998616874,2.39405297719892,..,1.63132348717228,..,2103588360066.32,7.99625379040316,2.27958810140629,16.1745081066756,27.347391477662,19.8131891561946,22.1097247092091,32.1167301355199,12.4152095424515,30,..,10.5697090518643,2.45745006060163,75.67324414,8.02187885520723,77.7778,31.4739334257927,100,478831010025.1,11.2063688175425,-475094,68909693352.8351,44009492129.5319,3174350097.65625,60.4317248477225,0.604876249225839,889270551,433595954,4.11499166488647,3.59565997,23.8222246139668,38.0592736886044,-1.0675490716688,15.5838545862129,0.0689196343932162,0.359940708852176,41.9229138654037
2016,IND,1338636340,1.18504622906796,3287260,450.235719883358,8.3,70.117,2.273,53.5,81.4,41,..,..,100.254035949707,73.2554779052734,1.03045177459717,710944,3.47930598498439,44.7786998616874,2.41309726336112,..,1.63991401876928,..,2294796885682.55,8.25630549903522,3.23797495325803,16.3638005614949,26.6189999395592,19.1582349104292,20.9242508025003,30.1726916703029,12.8510169889461,28.5,..,11.1477384182822,2.54315152114541,84.25058892,7.66035723093902,81.1111333333333,27.2874259114985,105.321171053,455541896498.9,17.2634154874596,68119,62744364089.9512,44458571545.798,2679040039.0625,60.3990999566123,0.580751672950203,894450030,444186310,..,3.50430417,23.9118253458407,37.4767510496831,-0.52788060603306,15.1622371331248,0.0607616430187198,0.220297977730946,40.0824857129295
2017,IND,1354195680,1.15562449067646,3287260,455.468934040542,8.2,70.467,2.2,..,..,38.7,33.4,..,..,71.920539855957,1.08402001857758,713608,3.47930689489956,44.7786998616874,2.407475136258,..,1.70492672078233,..,2651474262735.28,6.79538342343425,3.96925792751712,16.5583314050628,26.5000166467405,18.7917648394481,21.9507321154016,30.9821757632151,12.7267619006225,29.8,..,11.3874439798997,2.53151136056791,86.31708801,7.36067282279695,91.1111333333333,28.2546962845928,98.5223347933,511575707373.6,10.0846800379296,-219656,68967175499.8665,39966091358.7384,3198139892.57813,60.2839387997403,0.528079622185998,899185932,455009748,4.30639696121216,2.93597651,24.0014260777145,38.3010121136423,-1.43948820322083,15.018238750286,0.0616444207974507,0.313225226270499,40.7424969548497
2018,IND,1369003306,1.08752772157855,3287260,460.44931739983,8.1,70.71,2.177,..,..,36.4,..,..,97.5932998657227,73.1147613525391,1.01533448696136,716272,3.47930689489956,44.7786998616874,2.35916997461045,..,1.79559529858433,..,2702929641707.38,6.45385134074191,3.88424027914405,16.0316306861012,26.412091901118,19.9278285984011,23.6891407330116,32.3432182052814,13.188532948362,16.5,..,12.0174277480559,2.42428452604417,85.90350833,9.04035571931841,77.7778,31.0493468660868,93.3115353518,521175685410,11.3976479343618,-561563,78790170928.6742,42117450737.2644,2461989990.23438,60.2435646561437,0.437831346957146,903131481,465871825,..,2.8584938,24.0910268095884,38.7893080022906,-2.42697545805262,14.8815306669789,0.0660238912587392,0.446629594682818,43.6169693314126
2019,IND,1383112050,1.02531077187097,3287260,465.194639427685,7.8,70.91,2.109,..,..,34.3,..,..,96.1171264648438,72.9614181518555,1.01977431774139,718936,3.4793065712489,44.7786998616874,2.31580198477658,..,1.75253436625037,..,2835606256616.03,3.87143693928024,2.4055171623353,16.755568302942,24.5914753072538,18.6642648968953,21.2411386329439,30.0961975679772,..,17.5,..,..,2.54862217391745,83.25286162,10.2234993586926,75.5555666666667,28.5793910247299,95.4083069034,561017395481.3,9.0023457004643,-593495,83332078002.3032,50610647353.5912,2550320068.35938,60.2198133654425,0.353054652520403,906325664,476786386,..,2.94352531,24.1806275414622,39.9642159909513,-1.04961203907932,13.455807563065,0.0702256864350301,0.30502831579148,39.9054035298391
2020,IND,1396387127,0.95522085775158,3287260,469.659566660725,7.9,70.15,2.051,66.7,..,32.4,31.5,..,97.9693222045898,75.1089706420898,1.00732743740082,721600,3.4793065712489,44.7786998616874,2.26363455707273,..,1.57609323191648,..,2671595405986.86,-5.83105322050864,4.7465489289995,18.635531272118,25.0202542447043,18.7052473571499,19.0988780048576,28.7522985057029,..,..,..,..,2.81252756182972,82.621059,11.0322567956265,76.6667,24.3155081994925,101.3923810798,564979321177.1,15.0538331069002,-34772,83149172934.1043,64362364994.3754,1794209960.9375,60.0458628611021,0.259976035283438,908684959,487702168,4.2933497428894,2.95919013,24.270228273336,42.2658230981323,1.22511247454844,14.1245873644112,0.0675142930826255,0.144343868543637,37.8041253620075
2021,IND,1407563842,0.797216093898126,3287260,473.418732741601,8.1,67.24,2.031,66.7,89.4,30.6,..,..,99.3927230834961,78.0632934570312,0.991640269756317,724264,4.39560904389773,..,2.125468465055,..,..,..,3150306839142.13,9.05027790869941,8.53852548308286,17.3262632465159,26.0713492930273,21.5143885988197,24.1532946045737,31.2254982496368,..,..,..,..,2.47144662861613,81.98893361,10.2122155392107,..,30.7436084627153,90.7408714161,611987174447.7,7.39285028132933,-301970,89375152217.5657,44727277562.881,3118699951.17188,60.0459264291889,0.0769840697542702,909384771,498179071,4.63514137268066,..,24.3598290052099,42.2657783530901,-1.06092393739783,14.4720445271222,0.0774937091732812,0.325610194100608,45.6676832033935
2022,IND,1417173173,0.680372581057012,..,..,..,..,..,..,..,..,..,..,108.145172119141,78.812614440918,..,..,4.39560904389773,..,2.02467121722501,..,..,..,3416645826052.87,7.23969328081449,8.22586949859702,16.7308355142151,25.6556856497631,22.7868820072667,26.4428200967021,31.0415815107974,..,..,..,..,2.42522711696615,80.64857717,12.481728290332,..,34.3565315154745,..,616862975673.6,8.05825092969476,-487303,111221774722.088,49940258404.266,..,..,-0.0637952197165853,908804812,508368361,..,..,..,..,-2.31370021875076,13.3482974019972,..,..,49.2297021039688
