Time,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL],"Government expenditure on education, total (% of GDP)",Current health expenditure (% of GDP),Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural irrigated land (% of total agricultural land),Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS]
2010,IRN,75373855,1.40442428093574,1745150,46.2768332964955,..,73.069,1.768,..,96.4,19.3,4.1,107.303230285645,107.240280151367,83.9020462036133,0.954450011253357,106919.8,..,72.3346303501945,2.2304696365765,2710.2582055807,7.1798251528995,2603.09095242641,486807616876.696,5.79793829590261,15.882625978134,6.49939072560216,44.2093794195433,24.3996532830257,19.3709904543267,40.2624492463484,..,64.5,..,..,2.7865480606164,71.71155568,..,71.1111111111111,34.2476153248499,107.2638809792,19768742370.1,1.84083540008758,127703,..,3648972409.9,112440002.441406,28.5735160490189,-0.554207786478694,22140316,53233539,3.70918011665344,6.29153061,6.56449077826076,16.9013781870845,..,12.7839080637741,1.8610874879457,20.2248363529261,43.7706437373524
2011,IRN,76342971,1.27755003393578,1745150,46.8718356295587,..,73.679,1.8,77.4,98.5,18.4,..,105.738639831543,107.185096740723,88.1207733154297,0.954029977321625,106919.8,..,72.3346303501945,2.08699604728169,2728.66256410168,7.23119486664987,2621.51180886057,626133112195.928,2.64571792008958,33.4095331541243,4.64211620456647,46.2322885720867,24.9333131264673,16.2861016653902,36.0168035751398,..,64.5,..,..,2.38163454250427,73.40951664,4.16820070935246,68.8888888888889,30.9454964489035,126.850082273,17260291984,1.33812349412993,-150029,..,4276718689.9,105790000.915527,28.4833861342371,-0.695901826637168,21986776,54356195,3.48497009277344,6.09787989,6.56449077826076,16.8220793833499,..,13.7921914678474,1.91739971657899,22.3514589221281,41.2194147918575
2012,IRN,77324451,1.27742540846959,1745150,47.4744290134826,..,74.186,1.886,..,98.8,17.5,..,102.779708862305,107.180732727051,91.7013168334961,0.951820015907288,106919.8,..,72.3346303501945,2.05389840988477,2803.11124355736,7.2308576752779,2720.35555739025,644035512181.481,-3.7471713986414,18.9538841448275,6.79693716710629,42.0941632127048,22.4753001992587,21.6140464814866,36.350958176932,..,73.5,..,..,2.68660846849974,75.21235295,..,70,25.7179917670948,129.3996114537,7481954468.2,0.383292980112546,19635,..,4661734400,151789993.286133,28.3932562194553,-0.668470675789596,21840291,55484160,2.93899989128113,6.12235117,6.56449077826076,16.7422771365183,..,16.3771989024112,2.01887057952724,18.4120723402826,44.0893466807453
2013,IRN,78458928,1.45650590321443,1745150,48.1709570470788,6.8,74.449,1.961,..,98.8,16.8,..,..,120.710372924805,90.8647079467773,0.97680002450943,106919.8,..,72.3346303501945,2.20624875982667,2816.31102581468,7.43960075518748,2759.48200566798,492775566425.881,-1.52197920494163,36.7756318862083,8.77490977275988,42.7788684660113,25.1829067419072,21.9038111775683,34.9452115156883,..,73.5,..,..,2.18077190909837,83.15971256,1.54772070297107,70,27.8698883136806,131.9545394756,7013042464.9,0.402816023546482,23351,..,3049945000,131610000.610352,28.2141015250866,-0.4738481067885,21737046,56721882,2.85279011726379,5.54722023,6.56449077826076,16.7145406275841,..,15.7296956213052,2.7187141958893,21.2565665523955,47.0867179194755
2014,IRN,79961672,1.897214219374,1745150,49.0935877600138,6.3,74.782,2.036,..,99,16.1,..,..,111.849983215332,91.7429580688477,0.995530009269714,106919.8,..,72.3346303501945,2.63451347503895,2964.86030207072,7.57057831407027,2927.79020428687,460382791480.428,4.98477506709494,9.75876873256327,9.37842415684459,39.2282280462404,22.8306723891643,22.5207477521518,36.9396571448967,..,72.5,..,..,2.11655706144949,86.15521571,1.54524018759393,73.3333333333333,32.6393607191089,129.9207828002,5817911004,0.48468395002512,653255,..,2105494000,81169998.1689453,28.2141015250866,-0.0527349575404545,21725586,58236086,2.61668992042542,6.35239553,6.56449077826076,16.5804935370153,..,15.5847556165885,2.97411018568107,21.2353758265799,45.3514201413161
2015,IRN,81790841,2.26178492558276,1745150,50.2166316707188,6.3,75.124,2.053,..,..,15.5,..,100.070320129395,109.025131225586,88.1429824829102,1.00529003143311,106919.8,..,72.3346303501945,2.98414485934981,..,7.32579213851096,..,408212917874.964,-1.42488493937491,0.197001678736839,10.0916014141121,32.1747396532203,18.7208345068656,20.701754154314,31.9824085202655,..,72.5,..,..,2.55709080686915,90.74220792,1.43263391911846,73.3333333333333,28.2235066444638,100,6455859301,0.708033494845961,628310,..,2050000000,110900001.525879,28.2141015250866,0.299336320589038,21790716,60000125,2.62911009788513,7.25335979,6.56449077826076,16.5804935370153,..,13.4507444091979,2.62955318037995,12.2663527393474,39.4225886611796
2016,IRN,83306231,1.83580791714073,1745150,51.1470265723618,6.1,75.6,2.07,..,..,15,..,98.347053527832,107.907333374023,85.4874420166016,1.01882994174957,107020.8,7.66655342395126,72.3346303501945,2.54486645662248,..,7.28896617589145,..,457954614593.746,8.8150866425182,9.39978461338336,9.78442038070605,34.3675077733414,21.1617079991403,19.2261389217023,29.109199339131,..,72.5,..,..,2.79643556281004,96.65573395,1.3987526336424,78.8889,25.3263088314743,88.6089417651,6058410415.5,2.20112497345704,23759,..,3372000000,116190002.441406,28.2141015250866,-0.142951954139781,21759588,61546643,3.17396998405457,7.82282066,6.57069181463199,16.5804935370153,..,12.9449949759875,1.91831819745209,10.8895031509112,40.3878469208426
2017,IRN,84505076,1.42882552688137,1745150,52.0832517719569,5.9,75.971,2.074,..,..,14.5,4.3,96.6474380493164,107.295822143555,84.7548294067383,1.01710999011993,107105.9,7.6665206734854,72.3346303501945,2.12213970743413,..,7.41290262847642,..,486630147094.486,2.75850524578875,13.0353311671579,9.82705877594872,36.2293263183706,22.7356882630098,22.0091825028989,31.7965368195546,..,72.5,..,..,2.8443384495596,103.0079578,1.36325563923218,75.5555666666667,29.23431703716,103.8576629178,6819093933.4,0.451657376541216,7709,..,5019000000,140279998.779297,28.6194144838213,-0.558636031868616,21638370,62866706,3.45956993103027,7.7543416,6.60128813559322,..,..,13.7524025373297,2.33627116072101,14.6204399688795,44.7448707659087
2018,IRN,85617562,1.30788220910804,1745150,52.7689134052388,5.8,76.195,1.968,..,..,14,..,..,..,..,..,107270.3,7.6665206734854,72.3346303501945,1.98307268151865,..,7.44512790495015,..,329691934144.504,-1.83800757093036,31.6411842965085,11.1333886860067,37.3527826815852,31.1163801000709,27.4487096151447,33.2091237993155,..,72.5,..,..,2.24343449628841,103.6264522,0.724689483719286,80,46.338713258614,120.4132266517,5773699803.6,0.183424695243728,-29981,..,2373000000,166460006.713867,28.9152542372881,-0.680038298805094,21491720,64125842,3.61979007720947,7.52609015,6.61142064714946,16.9926889054673,..,15.6371173490639,5.80900087982186,27.6646471563106,58.5650897152156
2019,IRN,86564202,1.0995932626289,1745150,53.3523587057011,6,76.103,1.77,..,..,13.5,..,97.0807571411133,106.081970214844,..,..,107434.7,7.66652224044465,72.3346303501945,1.7556649983965,..,7.22298000274987,..,283649531542.631,-3.0705879849703,30.5348662272656,13.3248691743433,33.2971452640649,23.4838672675323,27.2704670825754,37.2993303178833,..,72.5,..,..,2.00613630912015,136.3859613,0.926086511463464,78.8889,37.9150987541245,114.5295700454,4855393068.1,0.463694844013058,-34571,..,1508000000,204440002.441406,28.9604519568567,-0.883936476687356,21302584,65261618,3.25775003433228,5.94786263,6.6215531587057,16.9661689192113,..,18.0455961757142,6.82201707137804,20.0780490508657,50.7543343501077
2020,IRN,87290193,0.83517614833256,1745150,53.7998107858243,..,74.832,1.708,..,..,13,..,98.0490036010742,104.484008789062,87.0725479125977,1.03032994270325,107518.7,7.66652224044465,72.3346303501945,1.4737918949687,..,7.06335132057733,..,239735486745.704,3.33028845926594,44.2649836337424,12.2129981052409,36.1405561421958,19.4246090258049,24.3855556612928,42.2489400667992,..,..,..,..,1.9713982636962,146.2076628,0.746712042051851,75.5555666666667,35.7364698747651,96.1705126377,5433188395.8,0.594280140105195,-156669,..,1342000000,235119995.117188,28.984694422188,-1.14703472423358,21059632,66230561,3.20495009422302,5.33579969,6.62673035439137,16.9519786104974,..,21.1394869566356,8.49623367431377,13.2733495355914,43.8101646870977
2021,IRN,87923432,0.722822505475776,1745150,54.1900967642527,..,73.875,1.692,..,..,12.6,..,..,..,..,..,107656.3,7.66652224044465,..,1.34166951354559,..,..,..,359096907772.985,4.71977773157164,56.3196546439665,12.3930959952544,38.0137347471642,22.8392319889567,21.5346020619098,39.4525900345751,..,..,..,..,2.19253403937114,154.5542763,0.38052282384481,..,33.590932527956,138.4310847635,10348874166.9,0.437279150549298,28080,..,1425000000,303769989.013672,29.008936825886,-1.24873570415182,20798288,67125144,..,..,6.63521109399075,..,..,21.215094973435,8.80888556489953,18.2658980929233,44.3738340508665
2022,IRN,88550570,0.710745642903734,1745150,..,..,..,..,..,..,..,..,..,..,..,..,..,7.66652224044465,..,1.31406946071107,..,..,..,413493207349.265,3.77663140152906,50.585248062505,12.7653151216866,39.8556929760804,26.8158865548081,24.7816202562159,38.0015908266913,..,..,..,..,2.5858676814208,164.5020873,..,..,32.0793661521888,..,9950397346.6,..,-39998,..,1500000000,..,..,-1.26165367572678,20537534,68013036,..,..,..,..,..,19.9907724381608,..,..,51.597506811024
