Time,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],Agricultural land (% of land area),Rural population growth (annual %) [SP.RUR.TOTL.ZG],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural irrigated land (% of total agricultural land),Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS]
2012,CHN,1354190000,0.678345458846803,9562911,144.243669001474,5.3,76.192,1.798,..,99.8,13.5,..,..,103.43643951416,93.3106079101562,0.997179985046387,2044839.28,..,21.2876390913292,3.13065659552565,2149.60256906343,7.04520023039603,3466.01953935563,8532185381696.43,7.86373644845264,2.33121757511319,9.11371387029059,45.4229807429375,25.4925222254207,22.7750001424501,46.2252655944551,11.138958963006,..,..,10.2567686829207,1.70094267160117,81.38349829,30.8486831710094,70,45.323898005028,86.1261358508,1148164368937.8,3.08464755083677,-124641,17065623287,241213868161.42,-180529998.779297,56.0235278052443,-1.88820699865451,653193546,700996454,3.94409418106079,4.56584787,21.7809258867318,45.4127,2.52446164533073,31.5285778659154,0.101496660091287,1.28348679227813,48.2675223678707
2013,CHN,1363240000,0.666072977690069,9562911,145.207643927049,6.2,76.452,1.714,..,99.9,12.5,2.4,..,102.930908203125,..,1.00609004497528,2064207.02,..,21.4298410892673,3.048365006284,2204.24329905226,7.32015492503154,3757.18508846571,9570471111847.82,7.7661500973591,2.16337002698883,8.94289396228549,44.1767045367712,24.5992544361809,22.1451211400837,46.3989493359977,10.9562365189665,34.3,..,9.90773258311224,1.7143409229625,89.31856151,31.5743629654427,70,43.4565336585296,87.1551588227,1480476659937.3,3.03970189644669,-137444,17790105219,290928431467.003,-656549987.792969,55.9433953923703,-1.95532000621928,640545579,722694421,3.71047639846802,4.71490669,21.9872244030306,46.073301,1.54855438303771,30.6710080721227,0.0941454766793496,1.07614082250695,46.7443755762646
2014,CHN,1371860000,0.630326389541893,9562911,146.125816729087,6.2,76.717,1.769,..,99.9,11.6,..,..,97.9485015869141,..,1.00947999954224,2083574.76,..,21.0956663941128,2.95349744191833,2224.35489845903,7.30471287157582,3905.31759800563,10475624944290.1,7.42576365596916,1.03106368733947,8.64349139635033,43.0855681104021,23.5100609081912,21.3951550467483,45.8239527576383,15.8181780336465,31.4,..,9.67861882705685,1.73840928794394,92.84598562,29.6954148919299,70,41.0622375550454,89.6419154119,1778380562695.9,3.01971745253991,-198432,29910500593.04,268097181064.335,-947070007.324219,55.8632629794963,-2.05726524272071,627502483,744357517,3.58033418655396,4.77790594,22.1935229193294,36.877496,2.25329351832407,30.3964442057044,0.125698597465449,0.888100390466572,44.9052159549395
2015,CHN,1379860000,0.581456146657648,9562911,146.977949259981,6.4,76.977,1.67,..,99.9,10.7,..,..,97.1544418334961,..,1.01157999038696,2102942.5,..,21.0387855949376,2.84287054779151,..,7.14513153508327,..,11061572618594.8,7.0413288794755,-0.00294409357314862,8.38701488218385,40.8413399692619,21.3540798825634,18.1100894525359,43.2348066563071,16.0430230597036,31.4,..,9.37692044712045,1.77677106896806,92.70071605,30.4219454271799,70,35.7366365190684,100,1333768986063.5,4.90274889592115,-155379,33104675861.87,242489331627.399,-306290008.544922,55.7831305666223,-2.16913010565563,614037700,765822300,3.81382989883423,4.93827963,22.3998214356282,30.299513,2.64901137604042,28.9516705780992,0.134795850990954,0.335243616051991,39.4641693350994
2016,CHN,1387790000,0.573050906069647,9562910,147.822641376791,6.5,77.218,1.772,..,99.9,9.9,..,..,97.3906173706055,..,1.01013994216919,2124598.67,15.9392803086493,21.4732126986384,2.77564176920889,..,7.10547993572515,..,11233313730288.5,6.84876220444184,1.40734602711936,8.05728753468678,39.5806215030173,19.5843800536192,17.3100349632555,42.6313769321682,15.6299264257275,28.9,..,9.12291556062493,1.7688865902507,97.36386675,30.2426414089164,80,32.8091700142104,99.7779239415,1413904270462.7,6.91875543607767,-153054,26883278893.8,174749584584.051,-791429992.675781,55.7030040870411,-2.24377990247916,600413466,787376534,3.76111555099487,4.97955608,22.6304979330458,46.245586,1.70330002825515,28.0694422382647,0.104843531709252,0.245866848453772,36.8944150168747
2017,CHN,1396215000,0.605245013482969,9562910,148.720043543977,6.4,77.248,1.813,84.5,..,9.2,..,..,97.922119140625,..,1.01321995258331,2143394.7,14.5876416474392,21.1959188026592,2.739663820353,..,7.22616015441748,..,12310491333980.9,6.94720079316534,4.23268197592985,7.46356501656873,39.8516984493115,19.6922769879798,17.9401362523264,43.0132973856949,15.8831720481562,24.9,..,9.41931765253305,1.71124264388853,104.2265872,30.9072386248438,78.8889,33.3629088277166,94.3377543893,1710819944231.6,7.58735986967657,-180592,28675983092.3,166083755721.649,-989940002.441406,55.6228716656317,-2.26468849431265,586968786,809246214,3.66745042800903,5.06592178,22.8307068120547,32.564119,1.53264496925769,28.1089368716302,0.106612708521095,0.313804041024999,37.6324132403061
2018,CHN,1402760000,0.467672053461959,9562910,149.417194545073,6.5,77.744,1.554,..,..,8.6,..,..,98.1703567504883,..,1.01431000232697,2162190.4,14.5876416474392,21.0782466493654,2.50340050353808,..,7.53319313353674,..,13894907857925.9,6.74977383251148,3.49974763599464,7.04302025317327,39.6870118229327,19.1121035365691,18.453680565772,43.7934751719835,16.5358955397881,8.6,..,9.0526857315335,1.67357820944542,116.3882038,31.5450983818224,80,33.267172746045,91.4523399326,1961562462976.8,8.25271896595969,-296674,24305605210.61,235365050036.341,-705270019.53125,55.5427392442223,-2.40869646259622,572999405,829760595,3.54249453544617,5.16790485,23.0309121760165,42.214731,0.173667284671728,27.8410111538917,0.153295372359551,0.413038667779282,37.5657841023411
2019,CHN,1407745000,0.354740890170827,9562910,149.948179684945,6.7,77.968,1.496,..,..,8,..,..,98.2354125976562,..,1.01529002189636,2180986.1,14.7363957337724,21.4056667496178,2.29017723362897,..,7.64543578560038,..,14279968506242.8,5.95050075439315,1.28670040643908,7.14369027759628,38.5874054557242,18.4099923152133,17.4801037185951,43.2511056433342,16.1005703947893,8.6,..,8.4928637699159,1.68291101151296,122.8132903,30.817204339562,80,32.057794791345,92.6680598569,2114161989828.3,9.49516872239568,-302609,18294313104.25,187169822364.755,-608580017.089844,55.462649429444,-2.51607966103332,558762145,848982855,3.54105472564697,5.3502779,23.2311175399783,42.701231,0.720658984390609,26.7747217059462,0.160723457303557,0.298457754882779,35.8900960338084
2020,CHN,1411100000,0.238040870229883,9562910,150.305542803154,7.2,78.077,1.281,..,..,7.4,..,..,99.0244293212891,..,1.01286995410919,2199781.8,14.7465114295171,20.2097479469587,2.07814005779212,..,7.75613790659769,..,14687744162801,2.23863835674121,0.492493917873077,7.69864253416333,37.8428217202934,18.5861391980346,16.1681565016707,43.3666742339174,14.0860868384369,..,..,8.09062621607631,1.75669947098837,120.5961882,31.2755857286816,80,31.6993266521609,98.5019354401,2326232537961.7,9.19478034214525,-33649,18876250770.21,253095616058.58,-572809997.558594,55.462649429444,-2.62426219856902,544289492,866810508,3.57295632362366,5.59359694,23.4313229039402,44.562368,1.69417196526513,26.2851690528182,0.135539849767672,0.114304451775114,34.7542956997053
2021,CHN,1412360000,0.0892522000412526,9562910,150.439753691066,..,78.211,1.164,..,..,6.9,..,..,99.4303970336914,..,1.01161003112793,2218577.5,14.7465114295171,..,1.83853028231533,..,..,..,17820459508852.2,8.44846941628141,4.55232657954579,7.24101746939763,39.2907720034165,19.9439738309693,17.358017035016,43.1402990747147,14.9369703981745,..,..,7.96512804614377,1.61307386433133,121.5382526,29.9578149531835,..,33.9211791760882,90.223242733,2702248173084.8,8.68771193168535,-200194,22479899032.72,344074977062.48,-565359985.351563,55.462649429444,-2.7613220504546,529465517,882894483,3.29784345626831,..,23.631528267902,37.219416,1.98022814428178,27.5470599965056,0.210524604380993,0.308578757061099,37.3019908659852
2022,CHN,1412175000,-0.0130995013525784,..,..,..,..,..,..,..,..,..,..,100.171730041504,..,..,..,14.7465114295171,..,1.64948085688024,..,..,..,17963171479205.3,2.98908408603653,2.24897445406873,7.29999943211008,39.9241121258135,20.6770017470271,17.4668162873967,43.2893092395829,..,..,..,..,1.59538074333145,124.8775379,23.1186745070884,..,35.1256124638361,..,2388742446960.7,10.958349170208,-311380,26105771684,180166881345.04,..,..,-2.84848047649475,514596570,897578430,..,..,..,,2.23710724518328,27.6989748293804,..,..,38.1438180344238
