Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Pakistan,Bulgaria,2021,Exports & Imports,177,155,6.41,3.86,-72311.25,40072.72,112383.97,0.15,0.14,12.13,10.87,322,84.78,15.22,0,0,35,0,0,111869.33,509.29,12.13,10.87,322,84.78,15.22,0,0,35,0,0,111869.33,509.29,
Pakistan,Bahrain,2021,Exports & Imports,368,1007,13.33,25.11,-252462.85,61896.28,314359.14,0.43,0.22,13.34,8.53,1854,84.84,15.05,0,0.11,35,0,0,298414.14,15720.03,13.34,8.53,1854,84.84,15.05,0,0.11,35,0,0,298414.14,15720.03,
Pakistan,"Bahamas, The",2021,Exports & Imports,5,72,0.18,1.8,-1445.94,278.88,1724.82,0,0,13.72,2.43,194,83.51,16.49,0,0,35,0,0,469.32,1251.89,13.72,2.43,194,83.51,16.49,0,0,35,0,0,469.32,1251.89,
Pakistan,Bosnia and Herzegovina,2021,Exports & Imports,13,31,0.47,0.77,-2386.86,63.73,2450.59,0,0,13.53,2.89,60,81.67,18.33,0,0,35,0,0,1330.86,471.71,13.53,2.89,60,81.67,18.33,0,0,35,0,0,1330.86,471.71,
Pakistan,Belarus,2021,Exports & Imports,35,76,1.27,1.89,-72522.08,1848.91,74370.99,0.1,0.01,17.94,7.61,214,88.32,11.68,0,0,35,0,0,14072.45,18148.66,17.94,7.61,214,88.32,11.68,0,0,35,0,0,14072.45,18148.66,
Pakistan,Belize,2021,Exports & Imports,6,13,0.22,0.32,-4772.55,46.25,4818.8,0.01,0,9.45,15.54,27,92.59,7.41,0,0,35,0,0,4803.74,2.31,9.45,15.54,27,92.59,7.41,0,0,35,0,0,4803.74,2.31,
Pakistan,Bermuda,2021,Exports & Imports,18,1,0.65,0.02,106.46,107.07,0.61,0,0,3,3,1,100,0,0,0,3,3,0,0.61,0,3,3,1,100,0,0,0,3,3,0,0.61,0,
Pakistan,Bolivia,2021,Exports & Imports,24,7,0.87,0.17,329.48,376.08,46.6,0,0,9.29,10.94,22,81.82,18.18,0,0,35,0,0,46.34,0,9.29,10.94,22,81.82,18.18,0,0,35,0,0,46.34,0,
Pakistan,Brazil,2021,Exports & Imports,209,361,7.57,9,-1362738.29,99211.56,1461949.86,2.01,0.34,11.55,3.2,733,78.31,21.42,0,0.27,50,0,0,1070561.39,389151.47,11.55,3.2,733,78.31,21.42,0,0.27,50,0,0,1070561.39,389151.47,
Pakistan,Barbados,2021,Exports & Imports,23,4,0.83,0.1,580.21,620.09,39.89,0,0,5.33,3.37,4,75,25,0,0,20,0,0,39.86,0,5.33,3.37,4,75,25,0,0,20,0,0,39.86,0,
