Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Pakistan,Guyana,2021,Exports & Imports,50,5,1.81,0.12,1208.05,1644,435.95,0,0.01,8.19,6.6,13,76.92,23.08,0,0,35,0,0,435.88,0,8.19,6.6,13,76.92,23.08,0,0,35,0,0,435.88,0,
Pakistan,"Hong Kong, China",2021,Exports & Imports,382,1156,13.84,28.82,5706.76,71849.93,66143.17,0.09,0.25,12.5,9.37,2085,81.92,17.94,0,0.14,35,0,0,52862.99,13019.52,12.5,9.37,2085,81.92,17.94,0,0.14,35,0,0,52862.99,13019.52,
Pakistan,Heard Island and McDonald Isla,2021,Exports & Imports,,6,,0.15,,,9.81,0,,16.82,19.98,15,73.33,26.67,0,0,20,0,0,9.81,0,16.82,19.98,15,73.33,26.67,0,0,20,0,0,9.81,0,
Pakistan,Honduras,2021,Exports & Imports,42,12,1.52,0.3,15102.6,15188.45,85.84,0,0.05,15.27,19.27,22,81.82,18.18,0,0,35,0,0,85.8,0,15.27,19.27,22,81.82,18.18,0,0,35,0,0,85.8,0,
Pakistan,Croatia,2021,Exports & Imports,130,60,4.71,1.5,14130.44,16375.55,2245.11,0,0.06,11.04,13.93,157,85.35,14.65,0,0,35,0,0,1616.83,376.33,11.04,13.93,157,85.35,14.65,0,0,35,0,0,1616.83,376.33,
Pakistan,Haiti,2021,Exports & Imports,8,4,0.29,0.1,5614.81,5629.13,14.32,0,0.02,21.67,20.06,8,87.5,12.5,0,0,35,0,0,14.29,0,21.67,20.06,8,87.5,12.5,0,0,35,0,0,14.29,0,
Pakistan,Hungary,2021,Exports & Imports,149,333,5.4,8.3,-12250.05,24761.57,37011.62,0.05,0.09,13.11,6.99,805,83.48,16.52,0,0,90,0,0,26437.55,9169.27,13.11,6.99,805,83.48,16.52,0,0,90,0,0,26437.55,9169.27,
Pakistan,Indonesia,2021,Exports & Imports,209,744,7.57,18.55,-4021218.55,170224.61,4191443.16,5.75,0.59,14.28,8.72,1577,83.01,16.11,0,0.89,1319.22,0,0,4062880.18,124722.83,14.51,9.6,1577,84.46,14.65,0,0.89,1319.22,0,0,4092064.65,95538.37,1
Pakistan,India,2021,Exports & Imports,11,294,0.4,7.33,-393739.81,240.47,393980.28,0.54,0,5.19,2.12,597,57.12,42.71,0,0.17,60,0,0,292219.05,90033.43,7.34,3.74,597,57.12,42.71,0,0.17,60,0,0,292219.05,90033.43,1
Pakistan,British Indian Ocean Ter.,2021,Exports & Imports,,5,,0.12,,,17.26,0,,16.72,15.09,12,66.67,33.33,0,0,35,0,0,17.26,0,16.72,15.09,12,66.67,33.33,0,0,35,0,0,17.26,0,
Pakistan,Ireland,2021,Exports & Imports,293,226,10.61,5.63,6236.26,86604.66,80368.4,0.11,0.3,11.21,8.79,515,82.52,17.48,0,0,35,0,0,75020.42,4894.84,11.21,8.79,515,82.52,17.48,0,0,35,0,0,75020.42,4894.84,
Pakistan,"Iran, Islamic Rep.",2021,Exports & Imports,1,323,0.04,8.05,-659467.94,0.02,659467.96,0.9,0,12.47,2.22,545,86.06,12.29,0,1.65,1187.3,0,0,238403.78,415489.33,12.87,2.34,545,86.06,12.29,0,1.65,1319.22,0,0,238403.78,415489.33,1
Pakistan,Iraq,2021,Exports & Imports,150,15,5.43,0.37,-73835.73,44289.82,118125.55,0.16,0.15,7.2,0.21,24,70.83,29.17,0,0,35,0,0,1334.5,116791.05,7.2,0.21,24,70.83,29.17,0,0,35,0,0,1334.5,116791.05,
Pakistan,Iceland,2021,Exports & Imports,29,27,1.05,0.67,48.56,376.59,328.03,0,0,14.71,10.77,70,87.14,12.86,0,0,35,0,0,287.15,33.85,14.71,10.77,70,87.14,12.86,0,0,35,0,0,287.15,33.85,
Pakistan,Italy,2021,Exports & Imports,671,1609,24.3,40.11,330029.49,891169.62,561140.14,0.77,3.09,11.85,7.14,2812,77.24,22.58,0,0.18,100,0,0,353181.55,201556.33,11.85,7.14,2812,77.24,22.58,0,0.18,100,0,0,353181.55,201556.33,
Pakistan,Jamaica,2021,Exports & Imports,33,20,1.2,0.5,148.77,1584.15,1435.38,0,0.01,11.92,8.42,63,73.02,26.98,0,0,35,0,0,1368.05,67.11,11.92,8.42,63,73.02,26.98,0,0,35,0,0,1368.05,67.11,
Pakistan,Jordan,2021,Exports & Imports,223,111,8.08,2.77,7757.34,34438.98,26681.64,0.04,0.12,15.89,3.6,275,90.18,9.82,0,0,100,0,0,9594.88,16959.71,15.89,3.6,275,90.18,9.82,0,0,100,0,0,9594.88,16959.71,
Pakistan,Japan,2021,Exports & Imports,394,1536,14.27,38.29,-1977440.02,202313.93,2179753.95,2.99,0.7,11.6,29.85,2817,76.04,23.82,0,0.14,1319.22,0,0,1776933.15,291497.68,11.6,29.85,2817,76.04,23.82,0,0.14,1319.22,0,0,1776933.15,291497.68,
Pakistan,Kazakhstan,2021,Exports & Imports,137,21,4.96,0.52,171368.19,193097.18,21728.99,0.03,0.67,10.18,13.22,41,87.8,12.2,0,0,35,0,0,18556.47,3172.5,10.18,13.22,41,87.8,12.2,0,0,35,0,0,18556.47,3172.5,
Pakistan,Kenya,2021,Exports & Imports,287,58,10.39,1.45,-261728.76,249529.39,511258.14,0.7,0.87,11.29,10.85,115,88.7,11.3,0,0,20,0,0,509615.72,1641.47,11.29,10.85,115,88.7,11.3,0,0,20,0,0,509615.72,1641.47,
Pakistan,Kyrgyz Republic,2021,Exports & Imports,78,11,2.83,0.27,2780.93,2813.26,32.33,0,0.01,14.4,3.86,15,93.33,6.67,0,0,35,0,0,17.42,14.8,14.4,3.86,15,93.33,6.67,0,0,35,0,0,17.42,14.8,
Pakistan,Cambodia,2021,Exports & Imports,50,62,1.81,1.55,25621.29,26511.44,890.15,0,0.09,19.18,12.54,86,98.84,1.16,0,0,20,0,0,570.69,305.83,19.18,12.54,86,98.84,1.16,0,0,20,0,0,570.69,305.83,
Pakistan,Kiribati,2021,Exports & Imports,1,3,0.04,0.07,4.3,11.36,7.06,0,0,13.78,11.38,7,100,0,0,0,35,3,0,7.06,0,13.78,11.38,7,100,0,0,0,35,3,0,7.06,0,
Pakistan,St. Kitts and Nevis,2021,Exports & Imports,4,11,0.14,0.27,-20.78,46.81,67.59,0,0,8.43,9.17,21,61.9,38.1,0,0,35,0,0,57.85,9.42,8.43,9.17,21,61.9,38.1,0,0,35,0,0,57.85,9.42,
Pakistan,"Korea, Rep.",2021,Exports & Imports,334,1613,12.1,40.21,-1312976.41,191115.87,1504092.28,2.06,0.66,11.14,37.75,2859,74.64,25.15,0,0.21,100,0,0,1240761.66,243209,11.14,37.75,2859,74.64,25.15,0,0.21,100,0,0,1240761.66,243209,
Pakistan,Kuwait,2021,Exports & Imports,409,132,14.81,3.29,-2149737.84,122103.33,2271841.16,3.12,0.42,14.78,3.7,298,88.59,11.41,0,0,35,0,0,2081397.13,190176.83,14.78,3.7,298,88.59,11.41,0,0,35,0,0,2081397.13,190176.83,
Pakistan,Lao PDR,2021,Exports & Imports,9,8,0.33,0.2,34.16,499.41,465.25,0,0,12.84,13.58,18,88.89,11.11,0,0,20,0,0,447.69,17.55,12.84,13.58,18,88.89,11.11,0,0,20,0,0,447.69,17.55,
Pakistan,Lebanon,2021,Exports & Imports,100,23,3.62,0.57,7251.35,11546.19,4294.83,0.01,0.04,9.54,8.92,58,91.38,8.62,0,0,35,0,0,4079.29,50.24,9.54,8.92,58,91.38,8.62,0,0,35,0,0,4079.29,50.24,
Pakistan,Liberia,2021,Exports & Imports,35,7,1.27,0.17,3386.65,3621.4,234.75,0,0.01,6.57,6.27,18,55.56,44.44,0,0,35,0,0,142.46,92.29,6.57,6.27,18,55.56,44.44,0,0,35,0,0,142.46,92.29,
Pakistan,Libya,2021,Exports & Imports,85,9,3.08,0.22,7556.46,11676.68,4120.22,0.01,0.04,7.53,7.85,20,60,40,0,0,35,0,0,3984.24,133.17,7.53,7.85,20,60,40,0,0,35,0,0,3984.24,133.17,
Pakistan,Latin America & Caribbean,2021,Exports & Imports,566,923,20.5,23.01,-1281363.7,548856.07,1830219.78,2.51,1.91,12.16,3.56,3490,80.54,19.17,0,0.29,60,0,0,1300291.05,527578.76,11.94,3.56,1790,80.06,19.61,0,0.17,60,0,0,1300291.05,527578.76,
Pakistan,Sri Lanka,2021,Exports & Imports,390,284,14.13,7.08,274719.14,348483.55,73764.4,0.1,1.21,4.52,16.62,527,27.51,72.11,0,0.38,285.83,0,0,29218.9,43907.9,14.6,77.85,527,85.58,13.85,0,0.57,1319.22,0,0,61495.11,11631.7,2
Pakistan,Lithuania,2021,Exports & Imports,150,88,5.43,2.19,19822.4,32988.76,13166.36,0.02,0.11,11.89,5.21,228,83.77,16.23,0,0,35,0,0,9319.96,3531.47,11.89,5.21,228,83.77,16.23,0,0,35,0,0,9319.96,3531.47,
Pakistan,Luxembourg,2021,Exports & Imports,23,99,0.83,2.47,-5371.77,611.82,5983.59,0.01,0,13.9,5.28,250,83.2,16.8,0,0,35,0,0,2237.57,3742.68,13.9,5.28,250,83.2,16.8,0,0,35,0,0,2237.57,3742.68,
Pakistan,Latvia,2021,Exports & Imports,107,51,3.88,1.27,8724.52,16350.43,7625.91,0.01,0.06,10.63,3.24,149,81.21,18.79,0,0,35,0,0,3435.37,3560.34,10.63,3.24,149,81.21,18.79,0,0,35,0,0,3435.37,3560.34,
Pakistan,Macao,2021,Exports & Imports,4,12,0.14,0.3,-225.64,7.46,233.1,0,0,14.52,8.57,29,86.21,13.79,0,0,35,0,0,224.21,8.33,14.52,8.57,29,86.21,13.79,0,0,35,0,0,224.21,8.33,
Pakistan,Morocco,2021,Exports & Imports,141,83,5.11,2.07,-556805.05,28990.18,585795.22,0.8,0.1,15.83,0.56,187,88.77,10.7,0,0.53,35,0,0,104923.33,480871.55,15.83,0.56,187,88.77,10.7,0,0.53,35,0,0,104923.33,480871.55,
Pakistan,Moldova,2021,Exports & Imports,17,6,0.62,0.15,90.57,219.81,129.25,0,0,16,3.39,7,100,0,0,0,20,3,0,129.2,0,16,3.39,7,100,0,0,0,20,3,0,129.2,0,
Pakistan,Madagascar,2021,Exports & Imports,98,19,3.55,0.47,84370.77,88412.29,4041.52,0.01,0.31,10.69,3.52,40,90,10,0,0,35,0,0,3047.19,994.33,10.69,3.52,40,90,10,0,0,35,0,0,3047.19,994.33,
Pakistan,Maldives,2021,Exports & Imports,135,8,4.89,0.2,5824.52,6114.53,290.01,0,0.02,13.23,2.26,17,76.47,23.53,0,0,35,0,0,289.22,0.67,14.09,6.97,17,76.47,23.53,0,0,35,0,0,289.22,0.67,1
Pakistan,Middle East & North Africa,2021,Exports & Imports,1782,2566,64.54,63.97,-16030128.52,2761816.63,18791945.14,25.78,9.59,13,5.95,9109,82.82,16.73,0,0.45,1187.3,0,0,16172867.42,2559816.81,12.6,5.95,4140,79.78,19.61,0,0.27,1319.22,0,0,16172867.42,2559816.81,1
Pakistan,Mexico,2021,Exports & Imports,228,418,8.26,10.42,8564.52,99536.41,90971.9,0.12,0.35,12.42,4.76,973,83.56,16.44,0,0,60,0,0,48250.74,42690.68,12.42,4.76,973,83.56,16.44,0,0,60,0,0,48250.74,42690.68,
Pakistan,Marshall Islands,2021,Exports & Imports,1,1,0.04,0.02,-17.4,0.73,18.13,0,0,16,16,1,100,0,0,0,16,16,0,18.13,0,16,16,1,100,0,0,0,16,16,0,18.13,0,
Pakistan,North Macedonia,2021,Exports & Imports,,1,,0.02,,,0.88,0,,11,11,1,100,0,0,0,11,11,0,0.88,0,11,11,1,100,0,0,0,11,11,0,0.88,0,
Pakistan,Mali,2021,Exports & Imports,14,5,0.51,0.12,-58.32,356.55,414.87,0,0,17.96,16.5,24,95.83,4.17,0,0,35,0,0,414.87,0,17.96,16.5,24,95.83,4.17,0,0,35,0,0,414.87,0,
Pakistan,Malta,2021,Exports & Imports,77,46,2.79,1.15,2202.8,3930.97,1728.17,0,0.01,13.05,10.41,116,79.31,20.69,0,0,35,0,0,1674.76,25.93,13.05,10.41,116,79.31,20.69,0,0,35,0,0,1674.76,25.93,
Pakistan,Myanmar,2021,Exports & Imports,23,9,0.83,0.22,11211.5,12693.02,1481.52,0,0.04,31.06,76.68,29,82.76,13.79,0,3.45,1319.22,0,0,1010.43,471.09,31.06,76.68,29,82.76,13.79,0,3.45,1319.22,0,0,1010.43,471.09,
Pakistan,Northern Mariana Islands,2021,Exports & Imports,,1,,0.02,,,111.5,0,,3,3,1,100,0,0,0,3,3,0,111.5,0,3,3,1,100,0,0,0,3,3,0,111.5,0,
Pakistan,Montenegro,2021,Exports & Imports,46,62,1.67,1.55,-73831.97,4255.7,78087.67,0.11,0.01,16.78,6.96,104,85.58,13.46,0,0.96,1319.22,0,0,76143.65,1940.29,16.78,6.96,104,85.58,13.46,0,0.96,1319.22,0,0,76143.65,1940.29,
Pakistan,Mozambique,2021,Exports & Imports,251,16,9.09,0.4,73500.52,116859.86,43359.35,0.06,0.41,6.85,3.09,28,39.29,60.71,0,0,35,0,0,41713.67,1645.67,6.85,3.09,28,39.29,60.71,0,0,35,0,0,41713.67,1645.67,
Pakistan,Mauritania,2021,Exports & Imports,34,1,1.23,0.02,8010.3,8024.74,14.45,0,0.03,7.64,7.64,11,100,0,0,0,20,3,0,14.45,0,7.64,7.64,11,100,0,0,0,20,3,0,14.45,0,
Pakistan,Montserrat,2021,Exports & Imports,,1,,0.02,,,0.06,0,,11,11,1,100,0,0,0,11,11,0,0.06,0,11,11,1,100,0,0,0,11,11,0,0.06,0,
Pakistan,Mauritius,2021,Exports & Imports,196,25,7.1,0.62,5725.15,19418.4,13693.25,0.02,0.07,7.96,0.53,60,68.33,31.67,0,0,35,0,0,2409.14,11282.51,9,0.53,60,70,30,0,0,35,0,0,2409.72,11281.93,1
Pakistan,Malawi,2021,Exports & Imports,37,5,1.34,0.12,6485.93,7030.37,544.44,0,0.02,9.33,11.01,9,66.67,33.33,0,0,35,0,0,543.46,0.11,9.33,11.01,9,66.67,33.33,0,0,35,0,0,543.46,0.11,
Pakistan,Malaysia,2021,Exports & Imports,464,1070,16.81,26.68,-932340.16,382847.03,1315187.18,1.8,1.33,9.52,6.14,2012,63.37,35.93,0,0.7,100,0,0,906561.49,392955.32,12.4,9.03,2012,79.92,19.28,0,0.8,100,0,0,1126648.21,172868.59,1
Pakistan,North America,2021,Exports & Imports,1261,2256,45.67,56.25,2088344.62,6439677.82,4351333.2,5.97,22.36,11.2,5.54,5170,76.52,23.21,0,0.27,100,0,0,3385940.13,922394.11,11.21,5.54,3789,75.77,23.91,0,0.23,100,0,0,3385940.13,922394.11,
Pakistan,Namibia,2021,Exports & Imports,12,17,0.43,0.42,-2553.61,147.86,2701.47,0,0,8.57,2.32,37,67.57,32.43,0,0,35,0,0,867.12,1834.21,8.57,2.32,37,67.57,32.43,0,0,35,0,0,867.12,1834.21,
Pakistan,New Caledonia,2021,Exports & Imports,13,8,0.47,0.2,250.86,317.17,66.31,0,0,7.82,8.04,19,57.89,42.11,0,0,35,0,0,63.97,2.31,7.82,8.04,19,57.89,42.11,0,0,35,0,0,63.97,2.31,
Pakistan,Niger,2021,Exports & Imports,3,2,0.11,0.05,-8.71,47.23,55.95,0,0,8,15.96,2,50,50,0,0,16,0,0,55.82,0.13,8,15.96,2,50,50,0,0,16,0,0,55.82,0.13,
Pakistan,Norfolk Island,2021,Exports & Imports,,7,,0.17,,,103.26,0,,11.45,7.9,18,61.11,38.89,0,0,35,0,0,87.33,3.32,11.45,7.9,18,61.11,38.89,0,0,35,0,0,87.33,3.32,
Pakistan,Nigeria,2021,Exports & Imports,162,20,5.87,0.5,-34946.18,39529.11,74475.29,0.1,0.14,11.67,9,44,72.73,27.27,0,0,35,0,0,59885.92,14589.34,11.67,9,44,72.73,27.27,0,0,35,0,0,59885.92,14589.34,
Pakistan,Nicaragua,2021,Exports & Imports,15,11,0.54,0.27,3631.16,3734.03,102.87,0,0.01,15.7,11.03,17,94.12,5.88,0,0,20,0,0,102.82,0,15.7,11.03,17,94.12,5.88,0,0,20,0,0,102.82,0,
Pakistan,Netherlands,2021,Exports & Imports,617,785,22.35,19.57,821001.68,1397059.71,576058.03,0.79,4.85,11.68,7.98,1539,79.4,20.4,0,0.19,90,0,0,417546.22,156690.01,11.68,7.98,1539,79.4,20.4,0,0.19,90,0,0,417546.22,156690.01,
Pakistan,Norway,2021,Exports & Imports,272,123,9.85,3.07,4775.3,60507.87,55732.57,0.08,0.21,10.16,4.13,277,80.87,19.13,0,0,35,0,0,21647.86,34019.06,10.16,4.13,277,80.87,19.13,0,0,35,0,0,21647.86,34019.06,
Pakistan,Nepal,2021,Exports & Imports,43,26,1.56,0.65,2097.19,4644.55,2547.36,0,0.02,5.01,3.11,83,85.54,14.46,0,0,20,0,0,2463.44,83.84,8.9,4.07,83,85.54,14.46,0,0,20,0,0,2463.44,83.84,1
Pakistan,New Zealand,2021,Exports & Imports,322,149,11.66,3.71,72.78,53845.78,53773,0.07,0.19,13.34,5.24,352,85.51,14.49,0,0,35,0,0,28100.01,25567.95,13.34,5.24,352,85.51,14.49,0,0,35,0,0,28100.01,25567.95,
Pakistan,"Other Asia, nes",2021,Exports & Imports,,,,,-621903.23,65900.1,687803.32,0.94,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Oman,2021,Exports & Imports,504,191,18.25,4.76,-273948.01,175992.42,449940.43,0.62,0.61,12.29,3.65,350,79.43,20.29,0,0.29,35,0,0,252817.15,196505.21,12.29,3.65,350,79.43,20.29,0,0.29,35,0,0,252817.15,196505.21,
Pakistan,Panama,2021,Exports & Imports,110,12,3.98,0.3,16540.42,16730.7,190.27,0,0.06,9.7,9.2,31,58.06,38.71,0,3.23,35,0,0,184.01,5.82,9.7,9.2,31,58.06,38.71,0,3.23,35,0,0,184.01,5.82,
Pakistan,Pitcairn,2021,Exports & Imports,,2,,0.05,,,3.22,0,,15.25,12.66,4,100,0,0,0,35,3,0,3.22,0,15.25,12.66,4,100,0,0,0,35,3,0,3.22,0,
Pakistan,Peru,2021,Exports & Imports,126,27,4.56,0.67,27519.56,31882.12,4362.56,0.01,0.11,9.73,4.64,54,72.22,27.78,0,0,35,0,0,2619.24,1743.3,9.73,4.64,54,72.22,27.78,0,0,35,0,0,2619.24,1743.3,
Pakistan,Philippines,2021,Exports & Imports,193,229,6.99,5.71,67849.84,142345.77,74495.93,0.1,0.49,15.31,32.01,605,90.58,8.1,0,1.32,100,0,0,59040.24,13962.82,15.31,32.01,605,90.58,8.1,0,1.32,100,0,0,59040.24,13962.82,
Pakistan,Palau,2021,Exports & Imports,1,1,0.04,0.02,-5.92,3.5,9.42,0,0,20,20,1,100,0,0,0,20,20,0,9.42,0,20,20,1,100,0,0,0,20,20,0,9.42,0,
Pakistan,Papua New Guinea,2021,Exports & Imports,18,2,0.65,0.05,20928.59,21056.76,128.17,0,0.07,5.5,0,2,50,50,0,0,11,0,0,0.05,128.12,5.5,0,2,50,50,0,0,11,0,0,0.05,128.12,
Pakistan,Poland,2021,Exports & Imports,323,564,11.7,14.06,189432.03,330298.93,140866.9,0.19,1.15,13.11,5.59,1136,83.8,16.2,0,0,35,0,0,87851.16,52623.81,13.11,5.59,1136,83.8,16.2,0,0,35,0,0,87851.16,52623.81,
Pakistan,"Korea, Dem. Rep.",2021,Exports & Imports,1,4,0.04,0.1,-0.74,0.05,0.79,0,0,15.5,11.42,5,100,0,0,0,20,11,0,0.72,0,15.5,11.42,5,100,0,0,0,20,11,0,0.72,0,
Pakistan,Portugal,2021,Exports & Imports,263,217,9.53,5.41,225132.93,243700.57,18567.64,0.03,0.85,13.15,6.16,477,81.55,18.24,0,0.21,35,0,0,11236.99,7323.43,13.15,6.16,477,81.55,18.24,0,0.21,35,0,0,11236.99,7323.43,
Pakistan,Paraguay,2021,Exports & Imports,51,8,1.85,0.2,-29218.15,8201.92,37420.07,0.05,0.03,10.19,7.12,9,77.78,11.11,0,11.11,20,0,0,37144.72,275.34,10.19,7.12,9,77.78,11.11,0,11.11,20,0,0,37144.72,275.34,
Pakistan,Occ.Pal.Terr,2021,Exports & Imports,,7,,0.17,,,8.85,0,,17.11,23.97,22,81.82,18.18,0,0,35,0,0,8.5,0.35,17.11,23.97,22,81.82,18.18,0,0,35,0,0,8.5,0.35,
Pakistan,Qatar,2021,Exports & Imports,532,114,19.27,2.84,-2259537.91,405023.01,2664560.92,3.66,1.41,13.17,10.7,231,88.74,11.26,0,0,35,0,0,2585765.07,71392.52,13.17,10.7,231,88.74,11.26,0,0,35,0,0,2585765.07,71392.52,
Pakistan,Romania,2021,Exports & Imports,229,272,8.29,6.78,4410.84,50816.86,46406.02,0.06,0.18,13.23,10.25,664,84.79,15.21,0,0,35,0,0,36625.65,3056.35,13.23,10.25,664,84.79,15.21,0,0,35,0,0,36625.65,3056.35,
Pakistan,Russian Federation,2021,Exports & Imports,204,244,7.39,6.08,-362276.19,175204.91,537481.11,0.74,0.61,10.29,6.39,491,78.62,21.38,0,0,35,0,0,484697.65,51215.54,10.29,6.39,491,78.62,21.38,0,0,35,0,0,484697.65,51215.54,
Pakistan,Rwanda,2021,Exports & Imports,13,1,0.47,0.02,-33768.13,504.64,34272.77,0.05,0,11,11,3,100,0,0,0,11,11,0,34272.77,0,11,11,3,100,0,0,0,11,11,0,34272.77,0,
Pakistan,South Asia,2021,Exports & Imports,1186,784,42.96,19.55,806704.15,2006119.51,1199415.37,1.65,6.97,6.45,4.44,1864,60.25,39.59,0,0.16,285.83,0,0,813358.99,373574.82,11.44,10.08,1427,74.21,25.51,0,0.21,1319.22,0,0,912084.24,274849.57,9
Pakistan,Saudi Arabia,2021,Exports & Imports,740,382,26.8,9.52,-3367138.04,402810.66,3769948.69,5.17,1.4,11.3,4.53,717,77.41,22.32,0,0.28,90,0,0,3216239.11,541113.77,11.3,4.53,717,77.41,22.32,0,0.28,90,0,0,3216239.11,541113.77,
Pakistan,Senegal,2021,Exports & Imports,148,25,5.36,0.62,22196.31,23158.04,961.73,0,0.08,10.46,3.16,55,70.91,29.09,0,0,35,0,0,311.36,650.25,10.46,3.16,55,70.91,29.09,0,0,35,0,0,311.36,650.25,
Pakistan,"Serbia, FR(Serbia/Montenegro)",2021,Exports & Imports,92,89,3.33,2.22,-26.66,2161.9,2188.56,0,0.01,14.5,7.69,204,86.27,13.73,0,0,35,0,0,2071.38,115.78,14.5,7.69,204,86.27,13.73,0,0,35,0,0,2071.38,115.78,
Pakistan,Singapore,2021,Exports & Imports,321,989,11.63,24.66,-791667.37,74860.41,866527.78,1.19,0.26,11.76,7.4,1911,78.65,21.14,0,0.21,1319.22,0,0,749302.68,109791.01,11.76,7.4,1911,78.65,21.14,0,0.21,1319.22,0,0,749302.68,109791.01,
Pakistan,South Georgia and the South Sa,2021,Exports & Imports,,3,,0.07,,,14.12,0,,13.92,26.25,7,85.71,14.29,0,0,35,0,0,13.53,0.59,13.92,26.25,7,85.71,14.29,0,0,35,0,0,13.53,0.59,
Pakistan,Solomon Islands,2021,Exports & Imports,4,8,0.14,0.2,-147.45,29.77,177.22,0,0,10.66,7.36,26,73.08,26.92,0,0,35,0,0,175.81,1.22,10.66,7.36,26,73.08,26.92,0,0,35,0,0,175.81,1.22,
Pakistan,Sierra Leone,2021,Exports & Imports,37,22,1.34,0.55,1807.81,2694.96,887.15,0,0.01,13.58,8.15,58,94.83,5.17,0,0,35,0,0,801.96,85.07,13.58,8.15,58,94.83,5.17,0,0,35,0,0,801.96,85.07,
Pakistan,El Salvador,2021,Exports & Imports,49,12,1.77,0.3,4818.46,4869.97,51.51,0,0.02,16.14,17.34,22,86.36,13.64,0,0,35,0,0,49.94,1.52,16.14,17.34,22,86.36,13.64,0,0,35,0,0,49.94,1.52,
Pakistan,San Marino,2021,Exports & Imports,,12,,0.3,,,214.53,0,,11.5,12.36,22,90.91,9.09,0,0,20,0,0,197.08,6.78,11.5,12.36,22,90.91,9.09,0,0,20,0,0,197.08,6.78,
Pakistan,Somalia,2021,Exports & Imports,146,12,5.29,0.3,62282.06,69889.09,7607.02,0.01,0.24,3.84,0.03,25,40,60,0,0,35,0,0,19.96,7586.63,3.84,0.03,25,40,60,0,0,35,0,0,19.96,7586.63,
Pakistan,South Sudan,2021,Exports & Imports,,1,,0.02,,,3.11,0,,0,0,1,0,100,0,0,0,0,0,0,3.11,0,0,1,0,100,0,0,0,0,0,0,3.11,
Pakistan,Sub-Saharan Africa,2021,Exports & Imports,1135,648,41.11,16.16,-2155879.36,1216417.3,3372296.66,4.63,4.22,10.27,5.07,2222,74.57,25.34,0,0.09,100,0,0,2749211.65,620140.41,11.07,5.07,1286,78.23,21.7,0,0.05,100,0,0,2749212.23,620139.83,1
Pakistan,Sudan,2021,Exports & Imports,80,9,2.9,0.22,783.61,24641.61,23857.99,0.03,0.09,11.1,0.35,24,54.17,45.83,0,0,50,0,0,1952.15,21905.85,11.1,0.35,24,54.17,45.83,0,0,50,0,0,1952.15,21905.85,
Pakistan,Suriname,2021,Exports & Imports,16,1,0.58,0.02,620.68,628.97,8.29,0,0,3,3,1,100,0,0,0,3,3,0,8.29,0,3,3,1,100,0,0,0,3,3,0,8.29,0,
Pakistan,Slovak Republic,2021,Exports & Imports,93,161,3.37,4.01,10411.39,23574.37,13162.98,0.02,0.08,14.58,13.9,387,85.53,14.47,0,0,100,0,0,12085.63,1022.52,14.58,13.9,387,85.53,14.47,0,0,100,0,0,12085.63,1022.52,
Pakistan,Slovenia,2021,Exports & Imports,182,165,6.59,4.11,83616.77,88539.61,4922.84,0.01,0.31,14.74,10.67,388,85.82,14.18,0,0,35,0,0,3520.78,1226.05,14.74,10.67,388,85.82,14.18,0,0,35,0,0,3520.78,1226.05,
Pakistan,Sweden,2021,Exports & Imports,356,564,12.89,14.06,-116999.45,165940.51,282939.96,0.39,0.58,11.53,10.29,1142,77.23,22.33,0,0.44,50,0,0,221955.64,54068.28,11.53,10.29,1142,77.23,22.33,0,0.44,50,0,0,221955.64,54068.28,
Pakistan,Eswatini,2021,Exports & Imports,8,239,0.29,5.96,-9724.02,484.11,10208.12,0.01,0,10.27,7.41,525,75.05,24.76,0,0.19,35,0,0,7910.16,2280.78,10.27,7.41,525,75.05,24.76,0,0.19,35,0,0,7910.16,2280.78,
Pakistan,Seychelles,2021,Exports & Imports,34,8,1.23,0.2,-11272.68,1508.46,12781.14,0.02,0.01,6.32,0.02,16,56.25,43.75,0,0,35,0,0,25.43,12755.71,6.32,0.02,16,56.25,43.75,0,0,35,0,0,25.43,12755.71,
Pakistan,Syrian Arab Republic,2021,Exports & Imports,6,8,0.22,0.2,6122.18,6301.97,179.79,0,0.02,9.62,4.39,16,62.5,37.5,0,0,35,0,0,179.79,0,9.62,4.39,16,62.5,37.5,0,0,35,0,0,179.79,0,
